battery_id,timestamp,pack_voltage,pack_current,SOC,cell_voltage_max,cell_voltage_min,temperature_max,temperature_min,charge_status,mileage,pack_current_raw,source_csv_row
SYNTHETIC_PACK_001,2025-12-31T16:00:00.000000Z,320.0,10.0,60.0,3.4,3.3,30.0,25.0,discharging,100.0,10.0,2
SYNTHETIC_PACK_001,2025-12-31T16:00:10.000000Z,319.9,10.0,59.99,3.4,3.3,30.0,25.0,discharging,100.01,10.0,3
SYNTHETIC_PACK_001,2025-12-31T16:00:20.000000Z,319.8,10.0,59.98,3.4,3.3,30.0,25.0,discharging,100.02,10.0,4
SYNTHETIC_PACK_001,2025-12-31T16:00:30.000000Z,319.7,10.0,59.97,3.4,3.3,30.0,25.0,discharging,100.03,10.0,5
SYNTHETIC_PACK_001,2025-12-31T16:00:40.000000Z,319.6,10.0,59.96,3.4,3.3,30.0,25.0,discharging,100.04,10.0,6
SYNTHETIC_PACK_001,2025-12-31T16:00:50.000000Z,319.5,10.0,59.95,3.4,3.3,30.0,25.0,discharging,100.05,10.0,7
SYNTHETIC_PACK_001,2025-12-31T16:01:00.000000Z,319.4,10.0,59.94,3.4,3.3,30.0,25.0,discharging,100.06,10.0,8
SYNTHETIC_PACK_001,2025-12-31T16:01:10.000000Z,319.3,10.0,59.93,3.4,3.3,30.0,25.0,discharging,100.07,10.0,9
SYNTHETIC_PACK_001,2025-12-31T16:01:20.000000Z,319.2,10.0,59.92,3.4,3.3,30.0,25.0,discharging,100.08,10.0,10
SYNTHETIC_PACK_001,2025-12-31T16:01:30.000000Z,319.1,10.0,59.91,3.4,3.3,30.0,25.0,discharging,100.09,10.0,11
SYNTHETIC_PACK_001,2025-12-31T16:01:40.000000Z,319.0,10.0,59.9,3.4,3.3,30.0,25.0,discharging,100.1,10.0,12
SYNTHETIC_PACK_001,2025-12-31T16:01:50.000000Z,318.9,10.0,59.89,3.4,3.3,30.0,25.0,discharging,100.11,10.0,13
