battery_id,cycle,predicted_rul_cycles,status,slope_ah_per_cycle,right_censored,observed_crossing_lower_exclusive,observed_crossing_upper_inclusive,absolute_distance_to_interval_cycles,prediction_in_interval
Cell1,0,,insufficient_history,,False,5700,5800,,
Cell1,100,,insufficient_history,,False,5700,5800,,
Cell1,200,,insufficient_history,,False,5700,5800,,
Cell1,300,,insufficient_history,,False,5700,5800,,
Cell1,400,2569.4149463539406,estimated,-4.883780252008402e-05,False,5700,5800,2730.5850536460594,False
Cell1,500,3249.6542039097244,estimated,-3.780833917354641e-05,False,5700,5800,1950.3457960902756,False
Cell1,600,3308.337414901395,estimated,-3.6117161032562766e-05,False,5700,5800,1791.6625850986052,False
Cell1,700,3500.1274981001725,estimated,-3.3368651031942145e-05,False,5700,5800,1499.8725018998275,False
Cell1,800,3738.7165511415724,estimated,-3.048435307823868e-05,False,5700,5800,1161.2834488584276,False
Cell1,900,3615.4518693761083,estimated,-3.063984194385846e-05,False,5700,5800,1184.5481306238917,False
Cell1,1000,3424.3424644469515,estimated,-3.139665546227355e-05,False,5700,5800,1275.6575355530485,False
Cell1,1100,3162.491217653287,estimated,-3.2929415017181966e-05,False,5700,5800,1437.508782346713,False
Cell1,1200,3220.184572344968,estimated,-3.142283704414833e-05,False,5700,5800,1279.8154276550322,False
Cell1,1300,3222.0842693290106,estimated,-3.050072730761603e-05,False,5700,5800,1177.9157306709894,False
Cell1,1400,3236.093552885083,estimated,-2.950761099148483e-05,False,5700,5800,1063.9064471149168,False
Cell1,1600,3119.539960868512,estimated,-2.879008529287653e-05,False,5700,5800,980.460039131488,False
Cell1,1800,2903.741874578024,estimated,-2.8915294810703116e-05,False,5700,5800,996.2581254219758,False
Cell1,1900,2754.6106279792975,estimated,-2.9361828251986326e-05,False,5700,5800,1045.3893720207025,False
Cell1,2000,2606.9611696179654,estimated,-2.9843987541177924e-05,False,5700,5800,1093.0388303820346,False
Cell1,2100,2567.9640717193342,estimated,-2.924047791932487e-05,False,5700,5800,1032.0359282806658,False
Cell1,2200,2469.971680593846,estimated,-2.9193816323153297e-05,False,5700,5800,1030.028319406154,False
Cell1,2300,2444.1116108086007,estimated,-2.838653211355606e-05,False,5700,5800,955.8883891913993,False
Cell1,2400,2290.0289551333544,estimated,-2.8977571454986413e-05,False,5700,5800,1009.9710448666456,False
Cell1,2500,2285.190110035589,estimated,-2.7953203775841912e-05,False,5700,5800,914.809889964411,False
Cell1,2600,2221.383542033939,estimated,-2.7480792232381342e-05,False,5700,5800,878.6164579660608,False
Cell1,2700,2282.571698441958,estimated,-2.578208233442188e-05,False,5700,5800,717.4283015580422,False
Cell1,2800,2384.354241598913,estimated,-2.3792391041934553e-05,False,5700,5800,515.6457584010868,False
Cell1,2900,2021.3359146476814,estimated,-2.6491195825778035e-05,False,5700,5800,778.6640853523186,False
Cell1,3000,2203.217086053174,estimated,-2.347655096627406e-05,False,5700,5800,496.78291394682583,False
Cell1,3100,2154.7818410724312,estimated,-2.3051337645711737e-05,False,5700,5800,445.21815892756877,False
Cell1,3200,2042.842979601137,estimated,-2.3087038412130228e-05,False,5700,5800,457.1570203988631,False
Cell1,3300,2303.600718485799,estimated,-1.980125264576656e-05,False,5700,5800,96.399281514201,False
Cell1,3500,1707.3403287377996,estimated,-2.365506567447699e-05,False,5700,5800,492.6596712622004,False
Cell1,3600,1846.0912567943133,estimated,-2.1141424208450352e-05,False,5700,5800,253.90874320568673,False
Cell1,3700,1939.925747577865,estimated,-1.9272213036572264e-05,False,5700,5800,60.07425242213503,False
Cell1,3800,1503.0954807966755,estimated,-2.2840041398599926e-05,False,5700,5800,396.9045192033245,False
Cell1,3900,1629.0822003942585,estimated,-2.0143099659864813e-05,False,5700,5800,170.9177996057415,False
Cell1,4000,1500.8488356882126,estimated,-2.0644641468773974e-05,False,5700,5800,199.1511643117874,False
Cell1,4100,1441.0865090078787,estimated,-2.002332249048527e-05,False,5700,5800,158.9134909921213,False
Cell1,4200,1645.104569255961,estimated,-1.672516617718412e-05,False,5700,5800,45.104569255960996,False
Cell1,4300,1314.476077916359,estimated,-1.9335454659955315e-05,False,5700,5800,85.52392208364108,False
Cell1,4400,1277.9360594036307,estimated,-1.852357463079145e-05,False,5700,5800,22.06394059636932,False
Cell1,4500,1109.2882840622624,estimated,-1.9258489363275147e-05,False,5700,5800,90.71171593773761,False
Cell1,4600,1028.516241417302,estimated,-1.9201493952219216e-05,False,5700,5800,71.4837585826981,False
Cell1,4800,969.3665984852141,estimated,-1.7177490868194777e-05,False,5700,5800,0.0,True
Cell1,5000,706.1262561880321,estimated,-1.7968008053916842e-05,False,5700,5800,0.0,True
Cell1,5100,646.8896290505254,estimated,-1.720682393882283e-05,False,5700,5800,0.0,True
Cell1,5200,414.2422665699578,estimated,-2.0332238776769015e-05,False,5700,5800,85.75773343004221,False
Cell1,5300,369.2774401100305,estimated,-1.902561062809228e-05,False,5700,5800,30.72255988996949,False
Cell1,5400,381.2165989104378,estimated,-1.560129992210559e-05,False,5700,5800,0.0,True
Cell1,5500,162.0282107322737,estimated,-1.9518854969489684e-05,False,5700,5800,37.97178926772631,False
Cell1,5600,126.39496104205591,estimated,-1.629466148389039e-05,False,5700,5800,0.0,True
Cell1,5700,21.752704618780626,estimated,-1.7700733346486727e-05,False,5700,5800,,
Cell1,5800,0.0,already_at_threshold,,False,5700,5800,,
Cell1,5900,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6000,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6100,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6200,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6300,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6400,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6500,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6600,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6700,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6800,0.0,already_at_threshold,,False,5700,5800,,
Cell1,6900,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7000,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7100,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7200,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7300,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7400,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7500,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7600,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7700,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7800,0.0,already_at_threshold,,False,5700,5800,,
Cell1,7900,0.0,already_at_threshold,,False,5700,5800,,
Cell1,8000,0.0,already_at_threshold,,False,5700,5800,,
Cell1,8100,0.0,already_at_threshold,,False,5700,5800,,
Cell1,8200,0.0,already_at_threshold,,False,5700,5800,,
Cell2,0,,insufficient_history,,False,4800,5000,,
Cell2,100,,insufficient_history,,False,4800,5000,,
Cell2,200,,insufficient_history,,False,4800,5000,,
Cell2,300,,insufficient_history,,False,4800,5000,,
Cell2,400,2546.0295056537893,estimated,-4.787975436821868e-05,False,4800,5000,1853.9704943462107,False
Cell2,500,3085.490597189896,estimated,-3.857559670208735e-05,False,4800,5000,1214.509402810104,False
Cell2,600,3190.5927847631565,estimated,-3.6285003406450444e-05,False,4800,5000,1009.4072152368435,False
Cell2,700,3315.016950985558,estimated,-3.405003022577938e-05,False,4800,5000,784.9830490144418,False
Cell2,800,3547.4069488978303,estimated,-3.101487436694774e-05,False,4800,5000,452.59305110216974,False
Cell2,900,3586.543060545713,estimated,-2.9884749886400392e-05,False,4800,5000,313.45693945428684,False
Cell2,1000,3603.4474551968015,estimated,-2.899167385208207e-05,False,4800,5000,196.55254480319854,False
Cell2,1100,3613.255266935387,estimated,-2.817879664468418e-05,False,4800,5000,86.74473306461277,False
Cell2,1200,3719.412313138908,estimated,-2.668843394962234e-05,False,4800,5000,0.0,True
Cell2,1300,3517.1050897114183,estimated,-2.7407731815984887e-05,False,4800,5000,0.0,True
Cell2,1400,3322.7243040178373,estimated,-2.8136120388905685e-05,False,4800,5000,77.27569598216269,False
Cell2,1600,3022.8761493714364,estimated,-2.8970280466588334e-05,False,4800,5000,177.12385062856356,False
Cell2,1800,2848.7663418651946,estimated,-2.8753871879793498e-05,False,4800,5000,151.2336581348054,False
Cell2,1900,2704.79270261441,estimated,-2.914647417139821e-05,False,4800,5000,195.2072973855902,False
Cell2,2000,2532.8063159163294,estimated,-2.985997972927985e-05,False,4800,5000,267.19368408367063,False
Cell2,2100,2488.2294174746667,estimated,-2.929991205775529e-05,False,4800,5000,211.77058252533334,False
Cell2,2200,2297.0774009927354,estimated,-3.033840582965465e-05,False,4800,5000,302.9225990072646,False
Cell2,2300,2441.081685249871,estimated,-2.7604846493252672e-05,False,4800,5000,58.91831475012896,False
Cell2,2400,2336.18493000759,estimated,-2.7613986384792077e-05,False,4800,5000,63.81506999240992,False
Cell2,2500,2353.9751197720216,estimated,-2.64269140570401e-05,False,4800,5000,0.0,True
Cell2,2600,2154.0600702838847,estimated,-2.740985025962978e-05,False,4800,5000,45.93992971611533,False
Cell2,2700,2183.795827625783,estimated,-2.607137233531652e-05,False,4800,5000,0.0,True
Cell2,2800,2359.701173043214,estimated,-2.3293740910108912e-05,False,4800,5000,159.7011730432141,False
Cell2,2900,1807.7954508814737,estimated,-2.8286996378672646e-05,False,4800,5000,92.2045491185263,False
Cell2,3000,1977.0492254103283,estimated,-2.4898627741641465e-05,False,4800,5000,0.0,True
Cell2,3100,1739.8932451040655,estimated,-2.6767819264370743e-05,False,4800,5000,0.0,True
Cell2,3200,1583.65931598497,estimated,-2.746472915734206e-05,False,4800,5000,16.340684015030092,False
Cell2,3300,1854.375402842279,estimated,-2.2587332940168794e-05,False,4800,5000,154.37540284227907,False
Cell2,3500,1306.3526545875911,estimated,-2.7432028827535547e-05,False,4800,5000,0.0,True
Cell2,3600,1549.096289137773,estimated,-2.2552602791034407e-05,False,4800,5000,149.09628913777306,False
Cell2,3700,1784.289163640371,estimated,-1.8884595701204738e-05,False,4800,5000,484.28916364037104,False
Cell2,3800,1305.2565445110358,estimated,-2.325213703364944e-05,False,4800,5000,105.25654451103583,False
Cell2,3900,1492.7277734231502,estimated,-1.9445730578430697e-05,False,4800,5000,392.7277734231502,False
Cell2,4000,1229.8309699532538,estimated,-2.187602892137279e-05,False,4800,5000,229.83096995325377,False
Cell2,4100,1059.232552913384,estimated,-2.2840904639997374e-05,False,4800,5000,159.2325529133841,False
Cell2,4200,1234.5750058962267,estimated,-1.848027305691411e-05,False,4800,5000,434.5750058962267,False
Cell2,4300,942.0391809991288,estimated,-2.1767330555615737e-05,False,4800,5000,242.0391809991288,False
Cell2,4400,946.1231270397811,estimated,-1.984876337456257e-05,False,4800,5000,346.12312703978114,False
Cell2,4500,791.5760258193759,estimated,-2.0474422771075297e-05,False,4800,5000,291.5760258193759,False
Cell2,4600,666.7088284067895,estimated,-2.144684836170466e-05,False,4800,5000,266.7088284067895,False
Cell2,4800,575.5958849520875,estimated,-1.9015535969146682e-05,False,4800,5000,,
Cell2,5000,0.0,already_at_threshold,,False,4800,5000,,
Cell2,5100,0.0,already_at_threshold,,False,4800,5000,,
Cell2,5200,0.0,already_at_threshold,,False,4800,5000,,
Cell2,5300,0.0,already_at_threshold,,False,4800,5000,,
Cell2,5400,0.0,already_at_threshold,,False,4800,5000,,
Cell2,5500,0.0,already_at_threshold,,False,4800,5000,,
Cell2,5600,0.0,already_at_threshold,,False,4800,5000,,
Cell2,5700,0.0,already_at_threshold,,False,4800,5000,,
Cell2,5800,0.0,already_at_threshold,,False,4800,5000,,
Cell2,5900,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6000,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6100,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6200,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6300,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6400,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6500,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6600,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6700,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6800,0.0,already_at_threshold,,False,4800,5000,,
Cell2,6900,0.0,already_at_threshold,,False,4800,5000,,
Cell2,7000,0.0,already_at_threshold,,False,4800,5000,,
Cell2,7100,0.0,already_at_threshold,,False,4800,5000,,
Cell2,7200,0.0,already_at_threshold,,False,4800,5000,,
Cell2,7300,0.0,already_at_threshold,,False,4800,5000,,
Cell2,7400,0.0,already_at_threshold,,False,4800,5000,,
Cell2,7500,0.0,already_at_threshold,,False,4800,5000,,
Cell2,7600,0.0,already_at_threshold,,False,4800,5000,,
Cell2,7700,0.0,already_at_threshold,,False,4800,5000,,
Cell3,0,,insufficient_history,,False,6000,6100,,
Cell3,100,,insufficient_history,,False,6000,6100,,
Cell3,200,,insufficient_history,,False,6000,6100,,
Cell3,300,,insufficient_history,,False,6000,6100,,
Cell3,400,2761.946777143814,estimated,-4.4619077849942524e-05,False,6000,6100,2838.053222856186,False
Cell3,500,3569.736346850676,estimated,-3.3888900749121604e-05,False,6000,6100,1930.263653149324,False
Cell3,600,3631.842406286052,estimated,-3.247170021669203e-05,False,6000,6100,1768.1575937139478,False
Cell3,700,3936.8349846314477,estimated,-2.9389959618760356e-05,False,6000,6100,1363.1650153685523,False
Cell3,800,4447.303643192722,estimated,-2.553191937650987e-05,False,6000,6100,752.6963568072779,False
Cell3,900,4591.368097332482,estimated,-2.422837507495833e-05,False,6000,6100,508.63190266751826,False
Cell3,1000,4610.099270430893,estimated,-2.3627102214854398e-05,False,6000,6100,389.90072956910717,False
Cell3,1100,4372.804979553127,estimated,-2.4355096226423937e-05,False,6000,6100,527.1950204468731,False
Cell3,1200,4537.4094003977725,estimated,-2.2995430504408393e-05,False,6000,6100,262.5905996022275,False
Cell3,1300,4413.661895030163,estimated,-2.3107603950398286e-05,False,6000,6100,286.33810496983733,False
Cell3,1400,4224.291945730405,estimated,-2.356620701107053e-05,False,6000,6100,375.70805426959487,False
Cell3,1600,3845.723899714544,estimated,-2.4569294436244373e-05,False,6000,6100,554.2761002854559,False
Cell3,1800,3515.6282567073704,estimated,-2.5380390098293194e-05,False,6000,6100,684.3717432926296,False
Cell3,1900,3313.4722388678365,estimated,-2.6078655842363466e-05,False,6000,6100,786.5277611321635,False
Cell3,2000,3123.9908176022936,estimated,-2.6752750307878843e-05,False,6000,6100,876.0091823977064,False
Cell3,2100,3059.254370530757,estimated,-2.6504125217196152e-05,False,6000,6100,840.7456294692429,False
Cell3,2200,2865.230463626519,estimated,-2.7278346834981486e-05,False,6000,6100,934.7695363734811,False
Cell3,2300,2915.2619434311327,estimated,-2.599671640024484e-05,False,6000,6100,784.7380565688673,False
Cell3,2400,2829.8471617826244,estimated,-2.586824560473993e-05,False,6000,6100,770.1528382173756,False
Cell3,2500,2819.0316432714244,estimated,-2.5150319512932986e-05,False,6000,6100,680.9683567285756,False
Cell3,2600,2686.9862264406956,estimated,-2.534780428996074e-05,False,6000,6100,713.0137735593044,False
Cell3,2700,2660.219065003991,estimated,-2.477833748093279e-05,False,6000,6100,639.7809349960089,False
