battery_id,cycle,eol_cycle,rul_cycles,right_censored,post_eol,remaining_observed_cycles_lower_bound
B0005,1,125.0,124.0,False,False,
B0005,2,125.0,123.0,False,False,
B0005,3,125.0,122.0,False,False,
B0005,4,125.0,121.0,False,False,
B0005,5,125.0,120.0,False,False,
B0005,6,125.0,119.0,False,False,
B0005,7,125.0,118.0,False,False,
B0005,8,125.0,117.0,False,False,
B0005,9,125.0,116.0,False,False,
B0005,10,125.0,115.0,False,False,
B0005,11,125.0,114.0,False,False,
B0005,12,125.0,113.0,False,False,
B0005,13,125.0,112.0,False,False,
B0005,14,125.0,111.0,False,False,
B0005,15,125.0,110.0,False,False,
B0005,16,125.0,109.0,False,False,
B0005,17,125.0,108.0,False,False,
B0005,18,125.0,107.0,False,False,
B0005,19,125.0,106.0,False,False,
B0005,20,125.0,105.0,False,False,
B0005,21,125.0,104.0,False,False,
B0005,22,125.0,103.0,False,False,
B0005,23,125.0,102.0,False,False,
B0005,24,125.0,101.0,False,False,
B0005,25,125.0,100.0,False,False,
B0005,26,125.0,99.0,False,False,
B0005,27,125.0,98.0,False,False,
B0005,28,125.0,97.0,False,False,
B0005,29,125.0,96.0,False,False,
B0005,30,125.0,95.0,False,False,
B0005,31,125.0,94.0,False,False,
B0005,32,125.0,93.0,False,False,
B0005,33,125.0,92.0,False,False,
B0005,34,125.0,91.0,False,False,
B0005,35,125.0,90.0,False,False,
B0005,36,125.0,89.0,False,False,
B0005,37,125.0,88.0,False,False,
B0005,38,125.0,87.0,False,False,
B0005,39,125.0,86.0,False,False,
B0005,40,125.0,85.0,False,False,
B0005,41,125.0,84.0,False,False,
B0005,42,125.0,83.0,False,False,
B0005,43,125.0,82.0,False,False,
B0005,44,125.0,81.0,False,False,
B0005,45,125.0,80.0,False,False,
B0005,46,125.0,79.0,False,False,
B0005,47,125.0,78.0,False,False,
B0005,48,125.0,77.0,False,False,
B0005,49,125.0,76.0,False,False,
B0005,50,125.0,75.0,False,False,
B0005,51,125.0,74.0,False,False,
B0005,52,125.0,73.0,False,False,
B0005,53,125.0,72.0,False,False,
B0005,54,125.0,71.0,False,False,
B0005,55,125.0,70.0,False,False,
B0005,56,125.0,69.0,False,False,
B0005,57,125.0,68.0,False,False,
B0005,58,125.0,67.0,False,False,
B0005,59,125.0,66.0,False,False,
B0005,60,125.0,65.0,False,False,
B0005,61,125.0,64.0,False,False,
B0005,62,125.0,63.0,False,False,
B0005,63,125.0,62.0,False,False,
B0005,64,125.0,61.0,False,False,
B0005,65,125.0,60.0,False,False,
B0005,66,125.0,59.0,False,False,
B0005,67,125.0,58.0,False,False,
B0005,68,125.0,57.0,False,False,
B0005,69,125.0,56.0,False,False,
B0005,70,125.0,55.0,False,False,
B0005,71,125.0,54.0,False,False,
B0005,72,125.0,53.0,False,False,
B0005,73,125.0,52.0,False,False,
B0005,74,125.0,51.0,False,False,
B0005,75,125.0,50.0,False,False,
B0005,76,125.0,49.0,False,False,
B0005,77,125.0,48.0,False,False,
B0005,78,125.0,47.0,False,False,
B0005,79,125.0,46.0,False,False,
B0005,80,125.0,45.0,False,False,
B0005,81,125.0,44.0,False,False,
B0005,82,125.0,43.0,False,False,
B0005,83,125.0,42.0,False,False,
B0005,84,125.0,41.0,False,False,
B0005,85,125.0,40.0,False,False,
B0005,86,125.0,39.0,False,False,
B0005,87,125.0,38.0,False,False,
B0005,88,125.0,37.0,False,False,
B0005,89,125.0,36.0,False,False,
B0005,90,125.0,35.0,False,False,
B0005,91,125.0,34.0,False,False,
B0005,92,125.0,33.0,False,False,
B0005,93,125.0,32.0,False,False,
B0005,94,125.0,31.0,False,False,
B0005,95,125.0,30.0,False,False,
B0005,96,125.0,29.0,False,False,
B0005,97,125.0,28.0,False,False,
B0005,98,125.0,27.0,False,False,
B0005,99,125.0,26.0,False,False,
B0005,100,125.0,25.0,False,False,
B0005,101,125.0,24.0,False,False,
B0005,102,125.0,23.0,False,False,
B0005,103,125.0,22.0,False,False,
B0005,104,125.0,21.0,False,False,
B0005,105,125.0,20.0,False,False,
B0005,106,125.0,19.0,False,False,
B0005,107,125.0,18.0,False,False,
B0005,108,125.0,17.0,False,False,
B0005,109,125.0,16.0,False,False,
B0005,110,125.0,15.0,False,False,
B0005,111,125.0,14.0,False,False,
B0005,112,125.0,13.0,False,False,
B0005,113,125.0,12.0,False,False,
B0005,114,125.0,11.0,False,False,
B0005,115,125.0,10.0,False,False,
B0005,116,125.0,9.0,False,False,
B0005,117,125.0,8.0,False,False,
