battery_id,cycle,split
B0005,1,train
B0005,2,train
B0005,3,train
B0005,4,train
B0005,5,train
B0005,6,train
B0005,7,train
B0005,8,train
B0005,9,train
B0005,10,train
B0005,11,train
B0005,12,train
B0005,13,train
B0005,14,train
B0005,15,train
B0005,16,train
B0005,17,train
B0005,18,train
B0005,19,train
B0005,20,train
B0005,21,train
B0005,22,train
B0005,23,train
B0005,24,train
B0005,25,train
B0005,26,train
B0005,27,train
B0005,28,train
B0005,29,train
B0005,30,train
B0005,31,train
B0005,32,train
B0005,33,train
B0005,34,train
B0005,35,train
B0005,36,train
B0005,37,train
B0005,38,train
B0005,39,train
B0005,40,train
B0005,41,train
B0005,42,train
B0005,43,train
B0005,44,train
B0005,45,train
B0005,46,train
B0005,47,train
B0005,48,train
B0005,49,train
B0005,50,train
B0005,51,train
B0005,52,train
B0005,53,train
B0005,54,train
B0005,55,train
B0005,56,train
B0005,57,train
B0005,58,train
B0005,59,train
B0005,60,train
B0005,61,train
B0005,62,train
B0005,63,train
B0005,64,train
B0005,65,train
B0005,66,train
B0005,67,train
B0005,68,train
B0005,69,train
B0005,70,train
B0005,71,train
B0005,72,train
B0005,73,train
B0005,74,train
B0005,75,train
B0005,76,train
B0005,77,train
B0005,78,train
B0005,79,train
B0005,80,train
B0005,81,train
B0005,82,train
B0005,83,train
B0005,84,train
B0005,85,train
B0005,86,train
B0005,87,train
B0005,88,train
B0005,89,train
B0005,90,train
B0005,91,train
B0005,92,train
B0005,93,train
B0005,94,train
B0005,95,train
B0005,96,train
B0005,97,train
B0005,98,train
B0005,99,train
B0005,100,train
B0005,101,train
B0005,102,train
B0005,103,train
B0005,104,train
B0005,105,train
B0005,106,train
B0005,107,train
B0005,108,train
B0005,109,train
B0005,110,train
B0005,111,train
B0005,112,train
B0005,113,train
B0005,114,train
B0005,115,train
B0005,116,train
B0005,117,train
B0005,118,train
B0005,119,train
B0005,120,train
B0005,121,train
B0005,122,train
B0005,123,train
B0005,124,train
B0005,125,train
B0005,126,train
B0005,127,train
B0005,128,train
B0005,129,train
B0005,130,train
B0005,131,train
B0005,132,train
B0005,133,train
B0005,134,train
B0005,135,train
B0005,136,train
B0005,137,train
B0005,138,train
B0005,139,train
B0005,140,train
B0005,141,train
B0005,142,train
B0005,143,train
B0005,144,train
B0005,145,train
B0005,146,train
B0005,147,train
B0005,148,train
B0005,149,train
B0005,150,train
B0005,151,train
B0005,152,train
B0005,153,train
B0005,154,train
B0005,155,train
B0005,156,train
B0005,157,train
B0005,158,train
B0005,159,train
B0005,160,train
B0005,161,train
B0005,162,train
B0005,163,train
B0005,164,train
B0005,165,train
B0005,166,train
B0005,167,train
B0005,168,train
B0006,1,train
B0006,2,train
B0006,3,train
B0006,4,train
B0006,5,train
B0006,6,train
B0006,7,train
B0006,8,train
B0006,9,train
B0006,10,train
B0006,11,train
B0006,12,train
B0006,13,train
B0006,14,train
B0006,15,train
B0006,16,train
B0006,17,train
B0006,18,train
B0006,19,train
B0006,20,train
B0006,21,train
B0006,22,train
B0006,23,train
B0006,24,train
B0006,25,train
B0006,26,train
B0006,27,train
B0006,28,train
B0006,29,train
B0006,30,train
B0006,31,train
B0006,32,train
B0006,33,train
B0006,34,train
B0006,35,train
B0006,36,train
B0006,37,train
B0006,38,train
B0006,39,train
B0006,40,train
B0006,41,train
B0006,42,train
B0006,43,train
B0006,44,train
B0006,45,train
B0006,46,train
B0006,47,train
B0006,48,train
B0006,49,train
B0006,50,train
B0006,51,train
B0006,52,train
B0006,53,train
B0006,54,train
B0006,55,train
B0006,56,train
B0006,57,train
B0006,58,train
B0006,59,train
B0006,60,train
B0006,61,train
B0006,62,train
B0006,63,train
B0006,64,train
B0006,65,train
B0006,66,train
B0006,67,train
B0006,68,train
B0006,69,train
B0006,70,train
B0006,71,train
B0006,72,train
B0006,73,train
B0006,74,train
B0006,75,train
B0006,76,train
B0006,77,train
B0006,78,train
B0006,79,train
B0006,80,train
B0006,81,train
B0006,82,train
B0006,83,train
B0006,84,train
B0006,85,train
B0006,86,train
B0006,87,train
B0006,88,train
B0006,89,train
B0006,90,train
B0006,91,train
B0006,92,train
B0006,93,train
B0006,94,train
B0006,95,train
B0006,96,train
B0006,97,train
B0006,98,train
B0006,99,train
B0006,100,train
B0006,101,train
B0006,102,train
B0006,103,train
B0006,104,train
B0006,105,train
B0006,106,train
B0006,107,train
B0006,108,train
B0006,109,train
B0006,110,train
B0006,111,train
B0006,112,train
B0006,113,train
B0006,114,train
B0006,115,train
B0006,116,train
B0006,117,train
B0006,118,train
B0006,119,train
B0006,120,train
B0006,121,train
B0006,122,train
B0006,123,train
B0006,124,train
B0006,125,train
B0006,126,train
B0006,127,train
B0006,128,train
B0006,129,train
B0006,130,train
B0006,131,train
B0006,132,train
B0006,133,train
B0006,134,train
B0006,135,train
B0006,136,train
B0006,137,train
B0006,138,train
B0006,139,train
B0006,140,train
B0006,141,train
B0006,142,train
B0006,143,train
B0006,144,train
B0006,145,train
B0006,146,train
B0006,147,train
B0006,148,train
B0006,149,train
B0006,150,train
B0006,151,train
B0006,152,train
B0006,153,train
B0006,154,train
B0006,155,train
B0006,156,train
B0006,157,train
B0006,158,train
B0006,159,train
B0006,160,train
B0006,161,train
B0006,162,train
B0006,163,train
B0006,164,train
B0006,165,train
B0006,166,train
B0006,167,train
B0006,168,train
B0007,1,train
B0007,2,train
B0007,3,train
B0007,4,train
B0007,5,train
B0007,6,train
B0007,7,train
B0007,8,train
B0007,9,train
B0007,10,train
B0007,11,train
B0007,12,train
B0007,13,train
B0007,14,train
B0007,15,train
B0007,16,train
B0007,17,train
B0007,18,train
B0007,19,train
B0007,20,train
B0007,21,train
B0007,22,train
B0007,23,train
B0007,24,train
B0007,25,train
B0007,26,train
B0007,27,train
B0007,28,train
B0007,29,train
B0007,30,train
B0007,31,train
B0007,32,train
B0007,33,train
B0007,34,train
B0007,35,train
B0007,36,train
B0007,37,train
B0007,38,train
B0007,39,train
B0007,40,train
B0007,41,train
B0007,42,train
B0007,43,train
B0007,44,train
B0007,45,train
B0007,46,train
B0007,47,train
B0007,48,train
B0007,49,train
B0007,50,train
B0007,51,train
B0007,52,train
B0007,53,train
B0007,54,train
B0007,55,train
B0007,56,train
B0007,57,train
B0007,58,train
B0007,59,train
B0007,60,train
B0007,61,train
B0007,62,train
B0007,63,train
B0007,64,train
B0007,65,train
B0007,66,train
B0007,67,train
B0007,68,train
B0007,69,train
B0007,70,train
B0007,71,train
B0007,72,train
B0007,73,train
B0007,74,train
B0007,75,train
B0007,76,train
B0007,77,train
B0007,78,train
B0007,79,train
B0007,80,train
B0007,81,train
B0007,82,train
B0007,83,train
B0007,84,train
B0007,85,train
B0007,86,train
B0007,87,train
B0007,88,train
B0007,89,train
B0007,90,train
B0007,91,train
B0007,92,train
B0007,93,train
B0007,94,train
B0007,95,train
B0007,96,train
B0007,97,train
B0007,98,train
B0007,99,train
B0007,100,train
B0007,101,train
B0007,102,train
B0007,103,train
B0007,104,train
B0007,105,train
B0007,106,train
B0007,107,train
B0007,108,train
B0007,109,train
B0007,110,train
B0007,111,train
B0007,112,train
B0007,113,train
B0007,114,train
B0007,115,train
B0007,116,train
B0007,117,train
B0007,118,train
B0007,119,train
B0007,120,train
B0007,121,train
B0007,122,train
B0007,123,train
B0007,124,train
B0007,125,train
B0007,126,train
B0007,127,train
B0007,128,train
B0007,129,train
B0007,130,train
B0007,131,train
B0007,132,train
B0007,133,train
B0007,134,train
B0007,135,train
B0007,136,train
B0007,137,train
B0007,138,train
B0007,139,train
B0007,140,train
B0007,141,train
B0007,142,train
B0007,143,train
B0007,144,train
B0007,145,train
B0007,146,train
B0007,147,train
B0007,148,train
B0007,149,train
B0007,150,train
B0007,151,train
B0007,152,train
B0007,153,train
B0007,154,train
B0007,155,train
B0007,156,train
B0007,157,train
B0007,158,train
B0007,159,train
B0007,160,train
B0007,161,train
B0007,162,train
B0007,163,train
B0007,164,train
B0007,165,train
B0007,166,train
B0007,167,train
B0007,168,train
B0018,1,test
B0018,2,test
B0018,3,test
B0018,4,test
B0018,5,test
B0018,6,test
B0018,7,test
B0018,8,test
B0018,9,test
B0018,10,test
B0018,11,test
B0018,12,test
B0018,13,test
B0018,14,test
B0018,15,test
B0018,16,test
B0018,17,test
B0018,18,test
B0018,19,test
B0018,20,test
B0018,21,test
B0018,22,test
B0018,23,test
B0018,24,test
B0018,25,test
B0018,26,test
B0018,27,test
B0018,28,test
B0018,29,test
B0018,30,test
B0018,31,test
B0018,32,test
B0018,33,test
B0018,34,test
B0018,35,test
B0018,36,test
B0018,37,test
B0018,38,test
B0018,39,test
B0018,40,test
B0018,41,test
B0018,42,test
B0018,43,test
B0018,44,test
B0018,45,test
B0018,46,test
B0018,47,test
B0018,48,test
B0018,49,test
B0018,50,test
B0018,51,test
B0018,52,test
B0018,53,test
B0018,54,test
B0018,55,test
B0018,56,test
B0018,57,test
B0018,58,test
B0018,59,test
B0018,60,test
B0018,61,test
B0018,62,test
B0018,63,test
B0018,64,test
B0018,65,test
B0018,66,test
B0018,67,test
B0018,68,test
B0018,69,test
B0018,70,test
B0018,71,test
B0018,72,test
B0018,73,test
B0018,74,test
B0018,75,test
B0018,76,test
B0018,77,test
B0018,78,test
B0018,79,test
B0018,80,test
B0018,81,test
B0018,82,test
B0018,83,test
B0018,84,test
B0018,85,test
B0018,86,test
B0018,87,test
B0018,88,test
B0018,89,test
B0018,90,test
B0018,91,test
B0018,92,test
B0018,93,test
B0018,94,test
B0018,95,test
B0018,96,test
B0018,97,test
B0018,98,test
B0018,99,test
B0018,100,test
B0018,101,test
B0018,102,test
B0018,103,test
B0018,104,test
B0018,105,test
B0018,106,test
B0018,107,test
