battery_id,cycle,operation_index,cycle_start_time,capacity_ah,rated_capacity_ah,soh_pct,ambient_temperature_c,sample_count,discharge_duration_s,feature_eligible,exclusion_reason,voltage_60s_v,voltage_120s_v,voltage_300s_v,voltage_600s_v,voltage_mean_v,voltage_slope_v_per_s,current_mean_a,current_std_a,temperature_mean_c,temperature_rise_c
B0005,1,2,2008-04-02T15:25:41.593,1.8564874208181574,2.0,92.82437104090788,24.0,197,3690.234,True,,3.9457639997092877,3.9008949467294256,3.828948943370519,3.7496292028995617,3.827622976250757,-0.00032905903547488744,-2.0129952236406585,0.0011443688922999375,27.21778082960191,4.79401301040836
B0005,2,4,2008-04-02T19:43:48.406,1.846327249719927,2.0,92.31636248599635,24.0,196,3672.344,True,,3.9511597044516606,3.9075660159799215,3.8356797753624394,3.754457664464789,3.833820758670113,-0.0003325447031407551,-2.012910613695935,0.0012904803502590866,27.50164843007282,4.662367397157254
B0005,3,6,2008-04-03T00:01:06.687,1.8353491942234077,2.0,91.76745971117039,24.0,195,3651.641,True,,3.9526338433705113,3.90951056122106,3.8381125727924155,3.7563819967514243,3.8360038975702766,-0.00033290278663178173,-2.0128701150057795,0.0016084530880585942,27.510539391754467,4.576948246405834
B0005,4,8,2008-04-03T04:16:37.375,1.8352625275821128,2.0,91.76312637910564,24.0,194,3631.563,True,,3.95446697460121,3.9117893948927067,3.840306600153757,3.7578889681871632,3.8381512470295776,-0.00033364229574643346,-2.012207280292296,0.0007984978226648365,27.40136847291849,4.572103137745437
B0005,5,10,2008-04-03T08:33:25.703,1.8346455082120419,2.0,91.7322754106021,24.0,194,3629.172,True,,3.9548913657485967,3.912779791297916,3.8413015473118137,3.758790670804065,3.838997387756365,-0.00033353087037261183,-2.012661332203682,0.001310564734847864,27.26692984317841,4.5601453585105745
B0005,6,12,2008-04-03T12:55:10.687,1.8356616600675495,2.0,91.78308300337747,24.0,195,3652.281,True,,3.9564775670981445,3.9144162427581133,3.843244655288302,3.760685953795151,3.840975517209772,-0.0003328192559044677,-2.012844245017326,0.0012715224650713692,27.267796720676056,4.569392304087685
B0005,7,14,2008-04-03T17:17:16.015,1.8351461429226603,2.0,91.75730714613302,24.0,195,3650.828,True,,3.9576044622418967,3.9158200774017273,3.845264140957068,3.762214015867445,3.8426410264149404,-0.0003324791209761517,-2.012480367607413,0.0010128043503473722,27.32652643778408,4.540146158324749
B0005,8,16,2008-04-03T21:28:14.718,1.8257567905665537,2.0,91.28783952832768,24.0,191,3572.453,True,,3.9594149954514295,3.9182754739741306,3.847327292806552,3.7639426482489475,3.8448479107311084,-0.0003331527275859794,-2.0128307604924855,0.0011159180551045197,27.408463568827994,4.4836763046580295
B0005,9,18,2008-04-04T01:38:15.218,1.8247738529891333,2.0,91.23869264945667,24.0,190,3550.594,True,,3.959739836060622,3.918327035907743,3.8475164981742025,3.7642536746181827,3.8449800758366948,-0.00033291173522474586,-2.012819501901671,0.0013104224841692835,27.340318345162242,4.495093431465193
B0005,10,20,2008-04-04T05:48:08.609,1.824613268496936,2.0,91.2306634248468,24.0,190,3551.25,True,,3.960093001364992,3.9189728459472377,3.848253985305743,3.7646246495461444,3.84557818937549,-0.00033307918266479726,-2.012414689356713,0.001270766381122939,27.27263185065932,4.49234649722462
