battery_id,raw_rows,invalid_rows,duplicate_timestamp_rows_quarantined,normalized_rows,start_time,end_time,sessions
ROAD_EV_01,854591,0,48,854543,2019-07-26 20:02:35,2021-11-15 16:46:40,4235
ROAD_EV_02,841810,0,3561,838249,2019-07-25 15:14:26,2021-11-15 14:12:56,4586
ROAD_EV_03,802918,0,11101,791817,2019-07-26 19:08:05,2021-11-15 22:20:40,4873
ROAD_EV_04,844537,0,4381,840156,2019-07-25 15:58:38,2021-11-15 17:57:51,4303
ROAD_EV_05,832189,0,5303,826886,2019-07-26 00:22:51,2021-11-15 17:44:04,4722
ROAD_EV_06,815202,0,6504,808698,2019-07-25 18:35:34,2021-11-15 15:59:52,4273
ROAD_EV_07,808770,0,3723,805047,2019-07-26 09:00:02,2021-11-15 15:54:48,4460
ROAD_EV_08,798496,0,826,797670,2019-07-26 10:26:45,2021-11-15 21:01:06,4733
ROAD_EV_09,792060,0,47,792013,2019-07-23 21:27:55,2021-11-15 19:19:13,4363
ROAD_EV_10,728849,0,26,728823,2019-07-24 23:00:08,2021-11-15 14:07:37,3685
ROAD_EV_11,809470,0,355,809115,2019-07-26 06:21:45,2021-11-15 22:53:06,4583
ROAD_EV_12,825533,0,2583,822950,2019-07-22 16:35:17,2021-11-16 01:05:42,4493
ROAD_EV_13,818352,0,729,817623,2019-07-26 11:17:42,2021-11-15 17:47:13,4533
ROAD_EV_14,793132,0,4746,788386,2019-07-26 01:07:17,2021-11-15 18:58:44,4374
ROAD_EV_15,704958,0,3619,701339,2019-07-25 12:11:45,2021-11-15 21:21:31,3442
ROAD_EV_16,819567,0,123,819444,2019-07-23 08:46:14,2021-11-15 21:24:27,4574
ROAD_EV_17,767868,0,3412,764456,2019-07-25 21:53:04,2021-11-15 20:03:29,4048
ROAD_EV_18,856192,0,723,855469,2019-07-26 02:53:18,2021-11-15 18:01:41,5030
ROAD_EV_19,778745,0,53,778692,2019-07-24 13:10:55,2021-11-15 22:26:25,4415
ROAD_EV_20,807489,0,131,807358,2019-07-26 11:03:04,2021-11-15 10:20:28,4252
