fold,model,n,vehicles,mae_ah,rmse_ah,r2,vehicle_macro_mae_ah
1,train_mean,4473,3,4.699940417515587,5.573569302406702,-0.004486730495357,4.707654595844159
1,ridge,4473,3,4.064888479240445,5.0860708393311125,0.1635457302009496,4.0839275687854295
1,random_forest,4473,3,3.1798731786015417,4.176657655436218,0.435927208864395,3.193449462522528
2,train_mean,4508,3,4.38874443600533,5.483338821627996,-0.0001231331091275,4.394358441690134
2,ridge,4508,3,3.893535582417829,4.8733766785443375,0.2100069518785484,3.8995596060617097
2,random_forest,4508,3,3.053759718392439,4.186859032090402,0.4169041024840089,3.059522706973899
3,train_mean,3051,2,5.095125092544328,5.9772335995916,-0.0119629923799795,5.099913705646673
3,ridge,3051,2,4.829043081188024,5.755819522093963,0.0616205072880372,4.836035142312203
3,random_forest,3051,2,3.8851748795159655,5.114511158956541,0.259078097103493,3.896006422037513
4,train_mean,4519,3,6.091175044893989,7.27574806696177,-0.0179620927850747,6.072205875943813
4,ridge,4519,3,5.187121312920219,6.217656095041839,0.2565877812374305,5.171778385429082
4,random_forest,4519,3,4.510153223439215,5.814416306393872,0.3498874529702473,4.490746007468083
5,train_mean,4300,3,4.23543725785656,5.429273185319603,-0.0389901686105422,4.235454526549348
5,ridge,4300,3,3.748481845026915,4.696114405076712,0.2226700774118276,3.783922853304022
5,random_forest,4300,3,2.839962030680388,3.854910562013638,0.4762106526780219,2.8720843465329486
