experiment,seed,split,vehicle,n,vehicles,mae_ah,rmse_ah,r2,vehicle_macro_mae_ah
missing_10pct,42,test,17,1392,1,3.3360668640502156,4.422557429800912,0.37415997204841456,3.3360668640502156
missing_10pct,42,test,18,1559,1,4.153233779381529,5.342156347405168,0.20410920902019714,4.153233779381529
missing_10pct,42,test,19,1512,1,3.5050697193995486,4.681389648852011,0.39128063954156933,3.5050697193995486
missing_10pct,42,test,20,1519,1,4.552588110697178,6.082115930493271,0.29691283238839694,4.552588110697178
missing_10pct,42,validation,15,1269,1,3.028969342648866,4.102425027395092,0.4338788310054985,3.028969342648866
missing_10pct,42,validation,16,1595,1,2.786502091269456,3.831912185601609,0.4454594925290619,2.786502091269456
noise_1pct,42,test,17,1392,1,2.9952276361777668,3.992810834241846,0.489878245424584,2.9952276361777668
noise_1pct,42,test,18,1559,1,3.961104648147324,5.131344085981053,0.26568471839980345,3.961104648147324
noise_1pct,42,test,19,1512,1,3.21962007942292,4.353053606201924,0.4736731029253508,3.21962007942292
noise_1pct,42,test,20,1519,1,4.223867042899106,5.813707302562306,0.3575991460972825,4.223867042899106
noise_1pct,42,validation,15,1269,1,2.690358943858203,3.6527286036670983,0.5511896125929352,2.6903589438582034
noise_1pct,42,validation,16,1595,1,2.4207871034654365,3.343321028788588,0.577858217633718,2.420787103465436
noise_5pct,42,test,17,1392,1,3.3131496399380413,4.387446949933808,0.38405755758475413,3.3131496399380413
noise_5pct,42,test,18,1559,1,4.200523094844142,5.37443986168198,0.19446074986126127,4.200523094844142
noise_5pct,42,test,19,1512,1,3.4528887593892925,4.630288594747277,0.4044974101826443,3.4528887593892925
noise_5pct,42,test,20,1519,1,4.498426999605322,6.160249511694807,0.27873245670552915,4.498426999605323
noise_5pct,42,validation,15,1269,1,2.9910215401050593,4.017161996065097,0.45716632728697293,2.9910215401050597
noise_5pct,42,validation,16,1595,1,2.822793062577815,3.8182279647395996,0.4494130826795434,2.822793062577815
random_forest,42,test,17,1392,1,2.950243460081283,3.948764900907986,0.5010707910455323,2.950243460081283
random_forest,42,test,18,1559,1,3.9334086951110665,5.100840036556315,0.2743892645765118,3.9334086951110665
random_forest,42,test,19,1512,1,3.16059853070791,4.263151947725196,0.4951885952662932,3.16059853070791
random_forest,42,test,20,1519,1,4.210206236227514,5.788845781911605,0.36308167634497934,4.210206236227514
random_forest,42,validation,15,1269,1,2.6308123318769225,3.5494137786041446,0.5762191277108801,2.630812331876923
random_forest,42,validation,16,1595,1,2.3582337709533374,3.270984759539615,0.5959275686607644,2.3582337709533374
rf_seed,17,test,17,1392,1,2.9633007015513915,3.957018484690314,0.4989829191464552,2.9633007015513915
rf_seed,17,test,18,1559,1,3.938182663951775,5.098341633327422,0.27509990212554136,3.938182663951775
rf_seed,17,test,19,1512,1,3.155767066527211,4.260306551156936,0.49586223266177076,3.155767066527211
rf_seed,17,test,20,1519,1,4.208018211382657,5.7705387640513806,0.36710376927329214,4.208018211382657
rf_seed,17,validation,15,1269,1,2.618349113069364,3.5401272935516617,0.5784337393380332,2.6183491130693644
rf_seed,17,validation,16,1595,1,2.3628065618588208,3.2815932998094537,0.5933023226200134,2.3628065618588208
rf_seed,2026,test,17,1392,1,2.964472136135214,3.9644643874943264,0.49709562225527437,2.964472136135214
rf_seed,2026,test,18,1559,1,3.9402093146758084,5.1121001744323635,0.27118214768701077,3.9402093146758084
rf_seed,2026,test,19,1512,1,3.1564021221982896,4.262891397999522,0.49525029818251143,3.1564021221982896
rf_seed,2026,test,20,1519,1,4.205156274653817,5.7869407362325065,0.36350081304152726,4.205156274653817
rf_seed,2026,validation,15,1269,1,2.6338739601782337,3.55912320727251,0.5738974496807434,2.6338739601782337
rf_seed,2026,validation,16,1595,1,2.364984767342612,3.2741987110517843,0.5951331245957647,2.3649847673426114
ridge,42,test,17,1392,1,4.051842741559158,5.035672713310782,0.18860679544745973,4.051842741559158
ridge,42,test,18,1559,1,4.451042329844382,5.64743981301453,0.11054595711100546,4.451042329844382
ridge,42,test,19,1512,1,4.171876070259016,5.209305045873257,0.2462503684513473,4.171876070259016
ridge,42,test,20,1519,1,5.070445948284362,6.7380977540965645,0.1370723235499497,5.070445948284362
ridge,42,validation,15,1269,1,3.438316390563544,4.4456988978814955,0.33517371908399585,3.438316390563544
ridge,42,validation,16,1595,1,3.248474242786633,4.185723958455215,0.3383271003437883,3.248474242786633
train_mean,42,test,17,1392,1,4.549323089114335,5.613147915560998,-0.008159733973748917,4.549323089114336
train_mean,42,test,18,1559,1,5.224926586775838,6.5216453964604835,-0.1861364535658374,5.224926586775838
train_mean,42,test,19,1512,1,4.8927703758208505,6.102521638100349,-0.03439446923208722,4.892770375820851
train_mean,42,test,20,1519,1,5.832593672704812,7.311813114876408,-0.016131579890803494,5.832593672704812
train_mean,42,validation,15,1269,1,4.368777943140959,5.452932847945632,-0.00020354094020325064,4.368777943140958
train_mean,42,validation,16,1595,1,3.9348686251605995,5.147224925809396,-0.0005722937155656638,3.9348686251606
without_cell_gap,42,test,17,1392,1,2.8241736402141315,3.847114364780013,0.5264273987903787,2.8241736402141315
without_cell_gap,42,test,18,1559,1,3.815152047719209,5.043173431807832,0.290703040409797,3.8151520477192085
without_cell_gap,42,test,19,1512,1,3.16388321891873,4.30673558429306,0.4848141204531152,3.16388321891873
without_cell_gap,42,test,20,1519,1,4.03496186999347,5.487468139174542,0.42767356344906005,4.03496186999347
without_cell_gap,42,validation,15,1269,1,2.5358979084481734,3.451215042369736,0.5993435578497932,2.5358979084481734
without_cell_gap,42,validation,16,1595,1,2.5378275720063352,3.593987487175753,0.512184830851901,2.537827572006335
without_soc_current,42,test,17,1392,1,3.819454709802305,4.853474589884976,0.24625942491492137,3.819454709802305
without_soc_current,42,test,18,1559,1,4.483083982191813,5.8078258970510035,0.05930796030470442,4.483083982191813
without_soc_current,42,test,19,1512,1,3.819516052977523,4.896136788804905,0.33415273665945344,3.819516052977523
without_soc_current,42,test,20,1519,1,4.668418528996997,6.141134943867933,0.2832015380398406,4.668418528996998
without_soc_current,42,validation,15,1269,1,3.271474564473799,4.333387377845477,0.3683403769606485,3.271474564473799
without_soc_current,42,validation,16,1595,1,2.7412181296987757,3.6517278444393164,0.4963846188634303,2.7412181296987757
without_temperature,42,test,17,1392,1,2.920849055119996,3.868870597709998,0.5210559499134151,2.920849055119996
without_temperature,42,test,18,1559,1,3.999828565724538,5.133959818382124,0.26493588464206186,3.999828565724538
without_temperature,42,test,19,1512,1,3.1804649664079716,4.2062301699705165,0.5085791237205328,3.1804649664079707
without_temperature,42,test,20,1519,1,4.206844065291076,5.683414437954026,0.3860705935191743,4.206844065291077
without_temperature,42,validation,15,1269,1,2.631126001016492,3.5307611214394248,0.5806614778185799,2.631126001016492
without_temperature,42,validation,16,1595,1,2.3763126725602204,3.2583594075019238,0.5990408275540207,2.3763126725602204
