vehicle,split,raw_rows,invalid_or_duplicate_rows,candidate_segments,short_or_low_soc_gain,non_monotonic_or_noncharging,implausible_proxy,retained_sessions
vehicle_001,train,854591,48,4235,2647,70,0,1518
vehicle_002,train,841810,3561,4586,2969,69,0,1548
vehicle_003,train,802918,11101,4873,3324,85,0,1464
vehicle_004,train,844537,4381,4303,2676,77,0,1550
vehicle_005,train,832189,5303,4722,3134,57,0,1531
vehicle_006,train,815202,6504,4273,2726,71,0,1476
vehicle_007,train,808770,3723,4460,2915,58,0,1487
vehicle_008,train,798496,826,4733,3162,68,0,1503
vehicle_009,train,792060,47,4363,2766,49,0,1548
vehicle_010,train,728849,26,3685,2369,65,0,1251
vehicle_011,train,809470,355,4583,3036,53,0,1494
vehicle_012,train,825533,2583,4493,2937,61,0,1495
vehicle_013,train,818352,729,4533,3038,67,0,1428
vehicle_014,train,793132,4746,4374,2758,58,0,1558
vehicle_015,validation,704958,3619,3442,2114,59,0,1269
vehicle_016,validation,819567,123,4574,2901,78,0,1595
vehicle_017,test,767868,3412,4048,2601,55,0,1392
vehicle_018,test,856192,723,5030,3408,63,0,1559
vehicle_019,test,778745,53,4415,2842,61,0,1512
vehicle_020,test,807489,131,4252,2670,63,0,1519
