vehicle,field,raw_rows,missing_or_non_numeric,missing_rate,infinite,min,max,outside_broad_range
vehicle_001,unused,854591,0,0.0,0.0,0.0,854590.0,0.0
vehicle_001,soc,854591,0,0.0,0.0,1.2,100.0,0.0
vehicle_001,voltage,854591,0,0.0,0.0,314.7,386.2,0.0
vehicle_001,current,854591,0,0.0,0.0,-93.20001,0.0,0.0
vehicle_001,vmax,854591,0,0.0,0.0,3.502,4.264,0.0
vehicle_001,vmin,854591,0,0.0,0.0,3.488,4.241,0.0
vehicle_001,tmax,854591,0,0.0,0.0,0.0,49.0,0.0
vehicle_001,tmin,854591,0,0.0,0.0,0.0,47.0,0.0
vehicle_001,energy,854591,0,0.0,0.0,0.58,45.29,0.0
vehicle_001,available_capacity,854591,0,0.0,0.0,1.76,136.16,0.0
vehicle_001,record_time,854591,0,0.0,,,,
vehicle_002,unused,841810,0,0.0,0.0,0.0,841809.0,0.0
vehicle_002,soc,841810,0,0.0,0.0,0.4,100.0,0.0
vehicle_002,voltage,841810,0,0.0,0.0,316.0,381.8,0.0
vehicle_002,current,841810,0,0.0,0.0,-92.70001,11.29999,0.0
vehicle_002,vmax,841810,0,0.0,0.0,0.0,4.251,0.0
vehicle_002,vmin,841810,0,0.0,0.0,0.0,4.227,0.0
vehicle_002,tmax,841810,0,0.0,0.0,0.0,48.0,0.0
vehicle_002,tmin,841810,0,0.0,0.0,0.0,46.0,0.0
vehicle_002,energy,841810,0,0.0,0.0,0.09999999,45.29,0.0
vehicle_002,available_capacity,841810,0,0.0,0.0,0.32,136.16,0.0
vehicle_002,record_time,841810,0,0.0,,,,
vehicle_003,unused,802918,0,0.0,0.0,0.0,802917.0,0.0
vehicle_003,soc,802918,0,0.0,0.0,0.8,100.0,0.0
vehicle_003,voltage,802918,0,0.0,0.0,313.9,381.8,0.0
vehicle_003,current,802918,0,0.0,0.0,-89.5,7.699982,0.0
vehicle_003,vmax,802918,0,0.0,0.0,0.0,4.251,0.0
vehicle_003,vmin,802918,0,0.0,0.0,0.0,4.236,0.0
vehicle_003,tmax,802918,0,0.0,0.0,0.0,48.0,0.0
vehicle_003,tmin,802918,0,0.0,0.0,0.0,46.0,0.0
vehicle_003,energy,802918,0,0.0,0.0,0.35,45.29,0.0
vehicle_003,available_capacity,802918,0,0.0,0.0,1.06,136.16,0.0
vehicle_003,record_time,802918,0,0.0,,,,
vehicle_004,unused,844537,0,0.0,0.0,0.0,844536.0,0.0
vehicle_004,soc,844537,0,0.0,0.0,0.0,100.0,0.0
vehicle_004,voltage,844537,0,0.0,0.0,315.2,386.1,0.0
vehicle_004,current,844537,0,0.0,0.0,-95.10001,12.0,0.0
vehicle_004,vmax,844537,0,0.0,0.0,3.51,4.251,0.0
vehicle_004,vmin,844537,0,0.0,0.0,3.488,4.228,0.0
vehicle_004,tmax,844537,0,0.0,0.0,14.0,47.0,0.0
vehicle_004,tmin,844537,0,0.0,0.0,11.0,46.0,0.0
vehicle_004,energy,844537,0,0.0,0.0,0.05,45.29,0.0
vehicle_004,available_capacity,844537,0,0.0,0.0,0.15,136.16,0.0
vehicle_004,record_time,844537,0,0.0,,,,
vehicle_005,unused,832189,0,0.0,0.0,0.0,832188.0,0.0
vehicle_005,soc,832189,0,0.0,0.0,0.0,100.0,0.0
vehicle_005,voltage,832189,0,0.0,0.0,314.2,383.9,0.0
vehicle_005,current,832189,0,0.0,0.0,-94.70001,10.29999,0.0
vehicle_005,vmax,832189,0,0.0,0.0,0.0,4.254,0.0
vehicle_005,vmin,832189,0,0.0,0.0,0.0,4.237,0.0
vehicle_005,tmax,832189,0,0.0,0.0,0.0,48.0,0.0
vehicle_005,tmin,832189,0,0.0,0.0,0.0,47.0,0.0
vehicle_005,energy,832189,0,0.0,0.0,0.04,45.29,0.0
vehicle_005,available_capacity,832189,0,0.0,0.0,0.13,136.16,0.0
vehicle_005,record_time,832189,0,0.0,,,,
vehicle_006,unused,815202,0,0.0,0.0,0.0,815201.0,0.0
vehicle_006,soc,815202,0,0.0,0.0,0.8,100.0,0.0
vehicle_006,voltage,815202,0,0.0,0.0,315.8,382.2,0.0
vehicle_006,current,815202,0,0.0,0.0,-400.02,0.0,0.0
vehicle_006,vmax,815202,0,0.0,0.0,0.0,4.25,0.0
vehicle_006,vmin,815202,0,0.0,0.0,0.0,4.23,0.0
vehicle_006,tmax,815202,0,0.0,0.0,0.0,49.0,0.0
vehicle_006,tmin,815202,0,0.0,0.0,0.0,47.0,0.0
vehicle_006,energy,815202,0,0.0,0.0,0.35999998,45.29,0.0
vehicle_006,available_capacity,815202,0,0.0,0.0,1.09,136.16,0.0
vehicle_006,record_time,815202,0,0.0,,,,
vehicle_007,unused,808770,0,0.0,0.0,0.0,808769.0,0.0
vehicle_007,soc,808770,0,0.0,0.0,1.2,100.0,0.0
vehicle_007,voltage,808770,0,0.0,0.0,315.3,384.2,0.0
vehicle_007,current,808770,0,0.0,0.0,-94.70001,0.0,0.0
vehicle_007,vmax,808770,0,0.0,0.0,3.504,4.251,0.0
vehicle_007,vmin,808770,0,0.0,0.0,3.482,4.234,0.0
vehicle_007,tmax,808770,0,0.0,0.0,0.0,47.0,0.0
vehicle_007,tmin,808770,0,0.0,0.0,0.0,45.0,0.0
vehicle_007,energy,808770,0,0.0,0.0,0.61,45.29,0.0
vehicle_007,available_capacity,808770,0,0.0,0.0,1.84,136.16,0.0
vehicle_007,record_time,808770,0,0.0,,,,
vehicle_008,unused,798496,0,0.0,0.0,0.0,798495.0,0.0
vehicle_008,soc,798496,0,0.0,0.0,0.8,100.0,0.0
vehicle_008,voltage,798496,0,0.0,0.0,315.2,385.9,0.0
vehicle_008,current,798496,0,0.0,0.0,-93.60001,12.0,0.0
vehicle_008,vmax,798496,0,0.0,0.0,0.0,4.251,0.0
vehicle_008,vmin,798496,0,0.0,0.0,0.0,4.237,0.0
vehicle_008,tmax,798496,0,0.0,0.0,0.0,48.0,0.0
vehicle_008,tmin,798496,0,0.0,0.0,0.0,46.0,0.0
vehicle_008,energy,798496,0,0.0,0.0,0.3,45.29,0.0
vehicle_008,available_capacity,798496,0,0.0,0.0,0.93,136.16,0.0
vehicle_008,record_time,798496,0,0.0,,,,
vehicle_009,unused,792060,0,0.0,0.0,0.0,792059.0,0.0
vehicle_009,soc,792060,0,0.0,0.0,0.0,100.0,0.0
vehicle_009,voltage,792060,0,0.0,0.0,314.6,381.8,0.0
vehicle_009,current,792060,0,0.0,0.0,-91.60001,0.0,0.0
vehicle_009,vmax,792060,0,0.0,0.0,0.0,4.251,0.0
vehicle_009,vmin,792060,0,0.0,0.0,0.0,4.236,0.0
vehicle_009,tmax,792060,0,0.0,0.0,0.0,49.0,0.0
vehicle_009,tmin,792060,0,0.0,0.0,0.0,47.0,0.0
vehicle_009,energy,792060,0,0.0,0.0,0.0,45.29,0.0
vehicle_009,available_capacity,792060,0,0.0,0.0,0.03,136.16,0.0
vehicle_009,record_time,792060,0,0.0,,,,
vehicle_010,unused,728849,0,0.0,0.0,0.0,728848.0,0.0
vehicle_010,soc,728849,0,0.0,0.0,0.0,100.0,0.0
vehicle_010,voltage,728849,0,0.0,0.0,314.9,381.9,0.0
vehicle_010,current,728849,0,0.0,0.0,-81.5,11.59998,0.0
vehicle_010,vmax,728849,0,0.0,0.0,0.0,4.251,0.0
vehicle_010,vmin,728849,0,0.0,0.0,0.0,4.227,0.0
vehicle_010,tmax,728849,0,0.0,0.0,0.0,47.0,0.0
vehicle_010,tmin,728849,0,0.0,0.0,0.0,46.0,0.0
vehicle_010,energy,728849,0,0.0,0.0,0.02,45.29,0.0
vehicle_010,available_capacity,728849,0,0.0,0.0,0.06,136.16,0.0
vehicle_010,record_time,728849,0,0.0,,,,
vehicle_011,unused,809470,0,0.0,0.0,0.0,809469.0,0.0
vehicle_011,soc,809470,0,0.0,0.0,2.0,100.0,0.0
vehicle_011,voltage,809470,0,0.0,0.0,315.0,385.9,0.0
vehicle_011,current,809470,0,0.0,0.0,-94.60001,0.0,0.0
vehicle_011,vmax,809470,0,0.0,0.0,0.0,4.252,0.0
vehicle_011,vmin,809470,0,0.0,0.0,0.0,4.239,0.0
vehicle_011,tmax,809470,0,0.0,0.0,0.0,48.0,0.0
vehicle_011,tmin,809470,0,0.0,0.0,0.0,46.0,0.0
vehicle_011,energy,809470,0,0.0,0.0,0.79,45.29,0.0
vehicle_011,available_capacity,809470,0,0.0,0.0,2.37,136.16,0.0
vehicle_011,record_time,809470,0,0.0,,,,
vehicle_012,unused,825533,0,0.0,0.0,0.0,825532.0,0.0
vehicle_012,soc,825533,0,0.0,0.0,0.4,100.0,0.0
vehicle_012,voltage,825533,0,0.0,0.0,312.8,381.9,0.0
vehicle_012,current,825533,0,0.0,0.0,-93.39999,6.699982,0.0
vehicle_012,vmax,825533,0,0.0,0.0,0.0,4.251,0.0
vehicle_012,vmin,825533,0,0.0,0.0,0.0,4.237,0.0
vehicle_012,tmax,825533,0,0.0,0.0,0.0,49.0,0.0
vehicle_012,tmin,825533,0,0.0,0.0,0.0,47.0,0.0
vehicle_012,energy,825533,0,0.0,0.0,0.13,45.29,0.0
vehicle_012,available_capacity,825533,0,0.0,0.0,0.41,136.16,0.0
vehicle_012,record_time,825533,0,0.0,,,,
vehicle_013,unused,818352,0,0.0,0.0,0.0,818351.0,0.0
vehicle_013,soc,818352,0,0.0,0.0,0.4,100.0,0.0
vehicle_013,voltage,818352,0,0.0,0.0,314.4,382.2,0.0
vehicle_013,current,818352,0,0.0,0.0,-92.5,11.5,0.0
vehicle_013,vmax,818352,0,0.0,0.0,0.0,4.25,0.0
vehicle_013,vmin,818352,0,0.0,0.0,0.0,4.227,0.0
vehicle_013,tmax,818352,0,0.0,0.0,0.0,48.0,0.0
vehicle_013,tmin,818352,0,0.0,0.0,0.0,46.0,0.0
vehicle_013,energy,818352,0,0.0,0.0,0.09999999,45.29,0.0
vehicle_013,available_capacity,818352,0,0.0,0.0,0.32,136.16,0.0
vehicle_013,record_time,818352,0,0.0,,,,
vehicle_014,unused,793132,0,0.0,0.0,0.0,793131.0,0.0
vehicle_014,soc,793132,0,0.0,0.0,0.8,100.0,0.0
vehicle_014,voltage,793132,0,0.0,0.0,315.5,381.3,0.0
vehicle_014,current,793132,0,0.0,0.0,-90.70001,12.09998,0.0
vehicle_014,vmax,793132,0,0.0,0.0,0.0,4.251,0.0
vehicle_014,vmin,793132,0,0.0,0.0,0.0,4.231,0.0
vehicle_014,tmax,793132,0,0.0,0.0,0.0,47.0,0.0
vehicle_014,tmin,793132,0,0.0,0.0,0.0,46.0,0.0
vehicle_014,energy,793132,0,0.0,0.0,0.29,45.29,0.0
vehicle_014,available_capacity,793132,0,0.0,0.0,0.89,136.16,0.0
vehicle_014,record_time,793132,0,0.0,,,,
vehicle_015,unused,704958,0,0.0,0.0,0.0,704957.0,0.0
vehicle_015,soc,704958,0,0.0,0.0,2.8,100.0,0.0
vehicle_015,voltage,704958,0,0.0,0.0,316.1,381.9,0.0
vehicle_015,current,704958,0,0.0,0.0,-75.60001,0.0,0.0
vehicle_015,vmax,704958,0,0.0,0.0,0.0,4.251,0.0
vehicle_015,vmin,704958,0,0.0,0.0,0.0,4.234,0.0
vehicle_015,tmax,704958,0,0.0,0.0,0.0,49.0,0.0
vehicle_015,tmin,704958,0,0.0,0.0,0.0,48.0,0.0
vehicle_015,energy,704958,0,0.0,0.0,1.24,45.29,0.0
vehicle_015,available_capacity,704958,0,0.0,0.0,3.74,136.16,0.0
vehicle_015,record_time,704958,0,0.0,,,,
vehicle_016,unused,819567,0,0.0,0.0,0.0,819566.0,0.0
vehicle_016,soc,819567,0,0.0,0.0,1.6,100.0,0.0
vehicle_016,voltage,819567,0,0.0,0.0,314.7,383.8,0.0
vehicle_016,current,819567,0,0.0,0.0,-92.30002,0.0,0.0
vehicle_016,vmax,819567,0,0.0,0.0,0.0,4.251,0.0
vehicle_016,vmin,819567,0,0.0,0.0,0.0,4.236,0.0
vehicle_016,tmax,819567,0,0.0,0.0,0.0,48.0,0.0
vehicle_016,tmin,819567,0,0.0,0.0,0.0,47.0,0.0
vehicle_016,energy,819567,0,0.0,0.0,0.67,45.29,0.0
vehicle_016,available_capacity,819567,0,0.0,0.0,2.01,136.16,0.0
vehicle_016,record_time,819567,0,0.0,,,,
vehicle_017,unused,767868,0,0.0,0.0,0.0,767867.0,0.0
vehicle_017,soc,767868,0,0.0,0.0,0.0,100.0,0.0
vehicle_017,voltage,767868,0,0.0,0.0,315.0,383.7,0.0
vehicle_017,current,767868,0,0.0,0.0,-400.02,0.0,0.0
vehicle_017,vmax,767868,0,0.0,0.0,0.0,4.251,0.0
vehicle_017,vmin,767868,0,0.0,0.0,0.0,4.229,0.0
vehicle_017,tmax,767868,0,0.0,0.0,0.0,48.0,0.0
vehicle_017,tmin,767868,0,0.0,0.0,0.0,46.0,0.0
vehicle_017,energy,767868,0,0.0,0.0,0.04,45.29,0.0
vehicle_017,available_capacity,767868,0,0.0,0.0,0.12,136.16,0.0
vehicle_017,record_time,767868,0,0.0,,,,
vehicle_018,unused,856192,0,0.0,0.0,0.0,856191.0,0.0
vehicle_018,soc,856192,0,0.0,0.0,0.4,100.0,0.0
vehicle_018,voltage,856192,0,0.0,0.0,316.1,385.8,0.0
vehicle_018,current,856192,0,0.0,0.0,-80.10001,7.399994,0.0
vehicle_018,vmax,856192,0,0.0,0.0,0.0,4.251,0.0
vehicle_018,vmin,856192,0,0.0,0.0,0.0,4.224,0.0
vehicle_018,tmax,856192,0,0.0,0.0,0.0,48.0,0.0
