segment_id,vehicle,session_index,split
vehicle_001_session_00001,vehicle_001,1,train
vehicle_001_session_00002,vehicle_001,2,train
vehicle_001_session_00003,vehicle_001,3,train
vehicle_001_session_00004,vehicle_001,4,train
vehicle_001_session_00005,vehicle_001,5,train
vehicle_001_session_00006,vehicle_001,6,train
vehicle_001_session_00007,vehicle_001,7,train
vehicle_001_session_00008,vehicle_001,8,train
vehicle_001_session_00009,vehicle_001,9,train
vehicle_001_session_00010,vehicle_001,10,train
vehicle_001_session_00011,vehicle_001,11,train
vehicle_001_session_00012,vehicle_001,12,train
vehicle_001_session_00013,vehicle_001,13,train
vehicle_001_session_00014,vehicle_001,14,train
vehicle_001_session_00015,vehicle_001,15,train
vehicle_001_session_00016,vehicle_001,16,train
vehicle_001_session_00017,vehicle_001,17,train
vehicle_001_session_00018,vehicle_001,18,train
vehicle_001_session_00019,vehicle_001,19,train
vehicle_001_session_00020,vehicle_001,20,train
vehicle_001_session_00021,vehicle_001,21,train
vehicle_001_session_00022,vehicle_001,22,train
vehicle_001_session_00023,vehicle_001,23,train
vehicle_001_session_00024,vehicle_001,24,train
vehicle_001_session_00025,vehicle_001,25,train
vehicle_001_session_00026,vehicle_001,26,train
vehicle_001_session_00027,vehicle_001,27,train
vehicle_001_session_00028,vehicle_001,28,train
vehicle_001_session_00029,vehicle_001,29,train
vehicle_001_session_00030,vehicle_001,30,train
vehicle_001_session_00031,vehicle_001,31,train
vehicle_001_session_00032,vehicle_001,32,train
vehicle_001_session_00033,vehicle_001,33,train
vehicle_001_session_00034,vehicle_001,34,train
vehicle_001_session_00035,vehicle_001,35,train
vehicle_001_session_00036,vehicle_001,36,train
vehicle_001_session_00037,vehicle_001,37,train
vehicle_001_session_00038,vehicle_001,38,train
vehicle_001_session_00039,vehicle_001,39,train
vehicle_001_session_00040,vehicle_001,40,train
vehicle_001_session_00041,vehicle_001,41,train
vehicle_001_session_00042,vehicle_001,42,train
vehicle_001_session_00043,vehicle_001,43,train
vehicle_001_session_00044,vehicle_001,44,train
vehicle_001_session_00045,vehicle_001,45,train
vehicle_001_session_00046,vehicle_001,46,train
vehicle_001_session_00047,vehicle_001,47,train
vehicle_001_session_00048,vehicle_001,48,train
vehicle_001_session_00049,vehicle_001,49,train
vehicle_001_session_00050,vehicle_001,50,train
vehicle_001_session_00051,vehicle_001,51,train
vehicle_001_session_00052,vehicle_001,52,train
vehicle_001_session_00053,vehicle_001,53,train
vehicle_001_session_00054,vehicle_001,54,train
vehicle_001_session_00055,vehicle_001,55,train
vehicle_001_session_00056,vehicle_001,56,train
vehicle_001_session_00057,vehicle_001,57,train
vehicle_001_session_00058,vehicle_001,58,train
vehicle_001_session_00059,vehicle_001,59,train
vehicle_001_session_00060,vehicle_001,60,train
vehicle_001_session_00061,vehicle_001,61,train
vehicle_001_session_00062,vehicle_001,62,train
vehicle_001_session_00063,vehicle_001,63,train
vehicle_001_session_00064,vehicle_001,64,train
vehicle_001_session_00065,vehicle_001,65,train
vehicle_001_session_00066,vehicle_001,66,train
vehicle_001_session_00067,vehicle_001,67,train
vehicle_001_session_00068,vehicle_001,68,train
vehicle_001_session_00069,vehicle_001,69,train
vehicle_001_session_00070,vehicle_001,70,train
vehicle_001_session_00071,vehicle_001,71,train
vehicle_001_session_00072,vehicle_001,72,train
vehicle_001_session_00073,vehicle_001,73,train
vehicle_001_session_00074,vehicle_001,74,train
vehicle_001_session_00075,vehicle_001,75,train
vehicle_001_session_00076,vehicle_001,76,train
vehicle_001_session_00077,vehicle_001,77,train
vehicle_001_session_00078,vehicle_001,78,train
vehicle_001_session_00079,vehicle_001,79,train
vehicle_001_session_00080,vehicle_001,80,train
vehicle_001_session_00081,vehicle_001,81,train
vehicle_001_session_00082,vehicle_001,82,train
vehicle_001_session_00083,vehicle_001,83,train
vehicle_001_session_00084,vehicle_001,84,train
vehicle_001_session_00085,vehicle_001,85,train
vehicle_001_session_00086,vehicle_001,86,train
vehicle_001_session_00087,vehicle_001,87,train
vehicle_001_session_00088,vehicle_001,88,train
vehicle_001_session_00089,vehicle_001,89,train
vehicle_001_session_00090,vehicle_001,90,train
vehicle_001_session_00091,vehicle_001,91,train
vehicle_001_session_00092,vehicle_001,92,train
vehicle_001_session_00093,vehicle_001,93,train
vehicle_001_session_00094,vehicle_001,94,train
vehicle_001_session_00095,vehicle_001,95,train
vehicle_001_session_00096,vehicle_001,96,train
vehicle_001_session_00097,vehicle_001,97,train
vehicle_001_session_00098,vehicle_001,98,train
vehicle_001_session_00099,vehicle_001,99,train
vehicle_001_session_00100,vehicle_001,100,train
vehicle_001_session_00101,vehicle_001,101,train
vehicle_001_session_00102,vehicle_001,102,train
vehicle_001_session_00103,vehicle_001,103,train
vehicle_001_session_00104,vehicle_001,104,train
vehicle_001_session_00105,vehicle_001,105,train
vehicle_001_session_00106,vehicle_001,106,train
vehicle_001_session_00107,vehicle_001,107,train
vehicle_001_session_00108,vehicle_001,108,train
vehicle_001_session_00109,vehicle_001,109,train
vehicle_001_session_00110,vehicle_001,110,train
vehicle_001_session_00111,vehicle_001,111,train
vehicle_001_session_00112,vehicle_001,112,train
