segment_id,vehicle,session_index,split,proxy_capacity_ah,soc_start,voltage_start,voltage_60,voltage_300,voltage_600,current_mean,tmax_mean,temperature_rise,cell_gap_mean,cell_gap_max
vehicle_018_session_00001,vehicle_018,1,test,130.77088761087768,23.2,327.2,328.0,329.1,329.9,-52.112010000000005,36.0,0,0.024040000000000016,0.025000000000000355
vehicle_018_session_00002,vehicle_018,2,test,133.39716512731482,27.6,328.8,329.9,331.20000000000005,332.8,-73.98816039473684,38.0921052631579,1,0.03175000000000003,0.03400000000000025
vehicle_018_session_00003,vehicle_018,3,test,132.0289651794494,47.6,335.7,337.45,341.35,345.0,-74.73159210526315,42.9078947368421,1,0.04865789473684214,0.05300000000000038
vehicle_018_session_00004,vehicle_018,4,test,132.21737568367786,42.8,332.4,333.25,334.95,337.4,-52.19343105263159,38.0,0,0.03311842105263157,0.040000000000000036
vehicle_018_session_00005,vehicle_018,5,test,129.69747072740114,24.0,326.4,328.4,329.4,330.3,-51.777641578947375,35.578947368421055,1,0.024026315789473698,0.0259999999999998
vehicle_018_session_00006,vehicle_018,6,test,132.01409886363635,2.8,317.5,318.55,320.8,322.7,-44.600010000000005,37.0,0,0.03577333333333338,0.038000000000000256
vehicle_018_session_00007,vehicle_018,7,test,133.99923806764983,28.4,328.9,329.95,331.3,332.7,-70.78159657894734,36.31578947368421,1,0.0309342105263158,0.03299999999999992
vehicle_018_session_00008,vehicle_018,8,test,132.95536385459536,34.8,330.7,331.65,333.3,335.3,-70.24401453333333,35.666666666666664,1,0.033493333333333354,0.03799999999999981
vehicle_018_session_00009,vehicle_018,9,test,130.06377780118606,23.6,327.2,328.0,328.85,329.7,-44.711853289473694,34.94736842105263,1,0.022026315789473717,0.02400000000000002
vehicle_018_session_00010,vehicle_018,10,test,132.07998873226148,13.2,324.1,325.6,328.0,329.6,-74.27896368421052,33.776315789473685,1,0.035855263157894716,0.040999999999999925
vehicle_018_session_00011,vehicle_018,11,test,131.372361902545,16.0,324.2,325.2,326.7,327.8,-45.001333466666665,34.54666666666667,-1,0.028786666666666624,0.03200000000000003
vehicle_018_session_00012,vehicle_018,12,test,132.20201028719399,12.0,323.9,324.6,325.8,326.9,-40.20001,35.0,0,0.026197368421052546,0.029999999999999805
vehicle_018_session_00013,vehicle_018,13,test,128.34800983309992,52.0,341.3,342.2,343.85,345.8,-40.19474684210527,38.0,0,0.038171052631578994,0.040000000000000036
vehicle_018_session_00014,vehicle_018,14,test,133.5038225340136,21.2,325.7,327.29999999999995,328.3,329.1,-44.70389636363637,36.0,0,0.022545454545454584,0.026000000000000245
vehicle_018_session_00015,vehicle_018,15,test,133.5766147666667,49.6,336.4,337.8,340.9,343.5,-49.993420394736845,38.0,0,0.044907894736842126,0.04899999999999993
vehicle_018_session_00016,vehicle_018,16,test,132.79139923917486,15.6,325.2,326.3,328.5,329.7,-70.87466533333334,38.0,0,0.03557333333333334,0.040999999999999925
vehicle_018_session_00017,vehicle_018,17,test,130.41378726969953,46.8,337.5,338.1,340.95000000000005,344.4,-70.92894026315788,41.328947368421055,1,0.048131578947368435,0.052000000000000046
vehicle_018_session_00018,vehicle_018,18,test,136.6641784537037,69.6,355.3,356.20000000000005,359.6,363.9,-75.00526368421053,40.921052631578945,1,0.05234210526315785,0.05400000000000027
vehicle_018_session_00019,vehicle_018,19,test,129.67095015576325,28.0,328.9,329.1,329.7,330.3,-39.0,40.0,0,0.02017105263157899,0.02200000000000024
vehicle_018_session_00020,vehicle_018,20,test,133.061096533834,30.8,328.6,329.475,330.5,331.6,-45.06267666666667,37.10666666666667,1,0.02268000000000002,0.02499999999999991
vehicle_018_session_00021,vehicle_018,21,test,131.90501658775256,49.6,336.3,337.4,340.1,342.5,-45.20132592105264,44.0,0,0.042855263157894716,0.04600000000000026
vehicle_018_session_00022,vehicle_018,22,test,130.2634077160494,35.6,330.2,330.8,331.79999999999995,333.0,-39.20001,35.666666666666664,1,0.023213333333333346,0.025000000000000355
vehicle_018_session_00023,vehicle_018,23,test,130.84814984107243,18.4,326.4,327.75,329.2,330.5,-74.24606815789474,39.21052631578947,1,0.034710526315789476,0.04200000000000026
vehicle_018_session_00024,vehicle_018,24,test,132.76210736957995,17.6,325.0,325.7,327.0,327.8,-40.20001,39.0,0,0.027434210526315724,0.03299999999999992
vehicle_018_session_00025,vehicle_018,25,test,132.89043787178989,14.8,324.7,326.1,328.5,329.9,-74.64211447368419,40.96052631578947,1,0.036434210526315756,0.040999999999999925
vehicle_018_session_00026,vehicle_018,26,test,130.27794119281046,9.6,321.1,322.0,323.70000000000005,325.3,-40.00131592105263,38.0,0,0.028013157894736847,0.03000000000000025
vehicle_018_session_00027,vehicle_018,27,test,138.65005291842476,68.0,352.4,353.8,357.15,361.1,-69.62632407894735,40.60526315789474,1,0.04822368421052634,0.04999999999999982
vehicle_018_session_00028,vehicle_018,28,test,134.430367650463,54.0,341.1,342.75,345.9,349.6,-69.8144877631579,37.73684210526316,1,0.049144736842105255,0.052000000000000046
vehicle_018_session_00029,vehicle_018,29,test,131.59387615079365,14.8,324.7,326.1,328.5,329.9,-74.16974565789472,36.96052631578947,1,0.03561842105263158,0.040000000000000036
vehicle_018_session_00030,vehicle_018,30,test,133.46662912581698,24.8,328.3,329.29999999999995,330.5,331.9,-71.02105684210527,39.0,0,0.030328947368421073,0.03200000000000003
vehicle_018_session_00031,vehicle_018,31,test,134.05479693754316,35.2,330.8,331.7,333.3,335.5,-70.61053565789473,39.94736842105263,1,0.033,0.03699999999999992
vehicle_018_session_00032,vehicle_018,32,test,133.03313261251762,67.2,352.4,353.75,357.15,361.1,-70.84000160000001,36.53333333333333,1,0.04689333333333335,0.04800000000000004
vehicle_018_session_00033,vehicle_018,33,test,132.14385537304136,37.2,331.7,332.8,334.9,337.7,-74.21580105263156,34.3421052631579,1,0.03680263157894735,0.042999999999999705
vehicle_018_session_00034,vehicle_018,34,test,133.23166875315658,11.6,323.0,324.79999999999995,327.4,329.2,-74.29467413333332,33.93333333333333,1,0.03681333333333331,0.040999999999999925
vehicle_018_session_00035,vehicle_018,35,test,133.46639434343436,50.0,336.1,336.8,338.70000000000005,340.3,-27.70000618421053,36.0,0,0.03738157894736838,0.040000000000000036
vehicle_018_session_00036,vehicle_018,36,test,131.71213503963995,3.6,319.1,320.9,323.8375,326.4,-70.36666666666666,35.0,0,0.0414,0.04500000000000037
vehicle_018_session_00037,vehicle_018,37,test,131.49902189258088,6.4,319.6,320.3,322.15,323.9,-40.101325789473684,38.0,0,0.029039473684210552,0.03299999999999992
vehicle_018_session_00038,vehicle_018,38,test,129.3337909035409,26.0,326.9,328.0,328.9,329.7,-38.83552631578947,35.0,0,0.019697368421052658,0.02100000000000035
vehicle_018_session_00039,vehicle_018,39,test,133.55023205475985,22.8,327.5,328.6,329.9,331.1,-69.56053236842106,37.0,0,0.030184210526315806,0.03200000000000003
vehicle_018_session_00040,vehicle_018,40,test,131.97338146335343,33.2,329.4,330.0,331.1,332.1,-40.14737842105264,32.68421052631579,1,0.02134210526315787,0.02400000000000002
vehicle_018_session_00041,vehicle_018,41,test,133.33646723690154,50.8,337.1,338.3,340.8,342.8,-40.14934333333334,35.0,0,0.03951999999999998,0.04300000000000015
vehicle_018_session_00042,vehicle_018,42,test,130.07738085218912,21.2,326.4,327.15,328.0,328.8,-40.49736815789473,37.0,0,0.021144736842105265,0.02499999999999991
vehicle_018_session_00043,vehicle_018,43,test,135.07786632217852,48.8,335.3,336.20000000000005,338.6,341.0,-40.30002000000002,38.0,0,0.038426666666666616,0.042999999999999705
vehicle_018_session_00044,vehicle_018,44,test,132.7005852675975,23.2,326.9,327.575,328.6,329.6,-45.220012000000004,36.0,0,0.021959999999999997,0.023999999999999577
vehicle_018_session_00045,vehicle_018,45,test,131.45289748792268,38.4,330.2,331.4,332.8,334.2,-44.951325921052636,38.10526315789474,1,0.025315789473684232,0.028000000000000025
vehicle_018_session_00046,vehicle_018,46,test,131.88995276857986,39.2,331.3,332.1,333.5375,335.2,-45.04133746666666,34.78666666666667,1,0.026720000000000008,0.03200000000000003
vehicle_018_session_00047,vehicle_018,47,test,132.37680710109822,13.6,323.9,325.75,328.2,329.6,-71.08158644736841,29.68421052631579,1,0.03515789473684209,0.03999999999999959
vehicle_018_session_00048,vehicle_018,48,test,130.7634808136879,38.8,332.4,333.5,335.7375,338.8,-70.1546784,32.64,1,0.03631999999999998,0.04300000000000015
vehicle_018_session_00049,vehicle_018,49,test,133.62512084126985,29.6,329.4,330.2,331.6,333.2,-69.4733312,36.4,1,0.029933333333333364,0.03200000000000003
vehicle_018_session_00050,vehicle_018,50,test,134.86310780885782,42.4,333.0,334.15,336.6,340.2,-70.06934013333334,39.733333333333334,1,0.038706666666666646,0.04700000000000015
vehicle_018_session_00051,vehicle_018,51,test,133.0980552220653,28.8,329.2,330.1,331.4,333.0,-70.71185513157893,36.69736842105263,1,0.03044736842105266,0.03299999999999992
vehicle_018_session_00052,vehicle_018,52,test,132.21258850108225,38.0,331.6,332.8,335.0,338.0,-74.4342107894737,33.421052631578945,1,0.03668421052631578,0.04300000000000015
vehicle_018_session_00053,vehicle_018,53,test,133.06258557947214,3.2,318.5,320.25,323.4,326.1,-70.06316552631579,35.81578947368421,1,0.04171052631578946,0.04500000000000037
vehicle_018_session_00054,vehicle_018,54,test,130.107948440735,34.8,335.8,337.0,338.3875,340.4,-69.82266986666667,34.906666666666666,1,0.019253333333333376,0.02100000000000035
vehicle_018_session_00055,vehicle_018,55,test,132.3409676094891,44.8,336.1,336.70000000000005,339.35,343.2,-69.80935053333333,32.50666666666667,1,0.044586666666666636,0.050000000000000266
vehicle_018_session_00056,vehicle_018,56,test,131.94760917159766,32.0,330.0,331.0,332.5,334.4,-71.15001065789474,36.88157894736842,1,0.032144736842105295,0.03500000000000014
vehicle_018_session_00057,vehicle_018,57,test,133.54301158584434,28.8,329.1,330.2,331.6,333.3,-74.02105565789473,33.276315789473685,1,0.03168421052631578,0.03400000000000025
vehicle_018_session_00058,vehicle_018,58,test,133.3448035348361,26.4,328.5,329.65,331.0375,332.5,-74.1400068,32.76,1,0.03154666666666671,0.03299999999999992
vehicle_018_session_00059,vehicle_018,59,test,132.06914436543582,32.8,328.5,329.9,331.0,332.1,-44.85658894736842,31.473684210526315,1,0.02256578947368427,0.025000000000000355
vehicle_018_session_00060,vehicle_018,60,test,131.79362566391944,26.8,327.8,328.55,329.6,330.3,-45.14667666666667,34.0,0,0.021733333333333337,0.02300000000000013
vehicle_018_session_00061,vehicle_018,61,test,132.59606634485098,64.4,348.0,349.9,352.15,354.7,-44.82764157894737,35.0,0,0.036736842105263165,0.038000000000000256
vehicle_018_session_00062,vehicle_018,62,test,132.15146179844032,2.0,317.4,318.6,321.1,323.3,-50.656588815789476,37.0,0,0.03571052631578953,0.038000000000000256
vehicle_018_session_00063,vehicle_018,63,test,133.12614563027938,31.6,328.8,329.65,330.75,331.9,-50.52368657894737,35.93421052631579,1,0.02414473684210528,0.026000000000000245
vehicle_018_session_00064,vehicle_018,64,test,131.8438441066066,43.6,333.9,334.6,336.0,338.0,-45.0040004,38.0,0,0.03134666666666664,0.03799999999999981
vehicle_018_session_00065,vehicle_018,65,test,134.71201319444447,48.0,336.0,337.4375,341.4,345.2,-74.0960084,42.76,1,0.047959999999999996,0.052000000000000046
vehicle_018_session_00066,vehicle_018,66,test,132.56790403580405,7.2,319.1,320.0,322.0,323.6,-39.67369421052632,33.0,0,0.028631578947368445,0.03200000000000003
vehicle_018_session_00067,vehicle_018,67,test,130.8345151935506,17.2,325.0,326.0,327.5,328.6,-50.36184407894737,38.078947368421055,1,0.028999999999999974,0.0349999999999997
