vehicle,split,sample_count
vehicle_001,train,1518
vehicle_002,train,1548
vehicle_003,train,1464
vehicle_004,train,1550
vehicle_005,train,1531
vehicle_006,train,1476
vehicle_007,train,1487
vehicle_008,train,1503
vehicle_009,train,1548
vehicle_010,train,1251
vehicle_011,train,1494
vehicle_012,train,1495
vehicle_013,train,1428
vehicle_014,train,1558
vehicle_015,validation,1269
vehicle_016,validation,1595
vehicle_017,test,1392
vehicle_018,test,1559
vehicle_019,test,1512
vehicle_020,test,1519
