model,vehicle,n,mae_ah
random_forest,15,1269,2.6345575255535927
random_forest,16,1595,2.3590371453135828
random_forest,17,1392,2.946150593786218
random_forest,18,1559,3.9299337552016174
random_forest,19,1512,3.16087028204069
random_forest,20,1519,4.21368049613297
ridge,15,1269,3.438316390563548
ridge,16,1595,3.248474242786617
ridge,17,1392,4.051842741559165
ridge,18,1559,4.4510423298444035
ridge,19,1512,4.171876070259016
ridge,20,1519,5.070445948284362
train_mean,15,1269,4.368777943140956
train_mean,16,1595,3.934868625160596
train_mean,17,1392,4.549323089114336
train_mean,18,1559,5.224926586775834
train_mean,19,1512,4.892770375820849
train_mean,20,1519,5.832593672704812
