fold,model,n,vehicles,mae_ah,rmse_ah,r2,vehicle_macro_mae_ah
1,train_mean,4473,3,4.699940417515587,5.573569302406702,-0.004486730495357083,4.707654595844159
1,ridge,4473,3,4.064888479240445,5.0860708393311125,0.16354573020094965,4.0839275687854295
1,random_forest,4473,3,3.1798731786015417,4.176657655436218,0.43592720886439507,3.1934494625225276
2,train_mean,4508,3,4.38874443600533,5.483338821627996,-0.00012313310912759334,4.394358441690134
2,ridge,4508,3,3.893535582417829,4.8733766785443375,0.21000695187854845,3.8995596060617097
2,random_forest,4508,3,3.053759718392439,4.186859032090402,0.4169041024840089,3.059522706973899
3,train_mean,3051,2,5.095125092544328,5.9772335995915995,-0.011962992379979553,5.099913705646673
3,ridge,3051,2,4.829043081188024,5.755819522093963,0.06162050728803725,4.836035142312203
3,random_forest,3051,2,3.885174879515965,5.114511158956541,0.25907809710349305,3.8960064220375132
4,train_mean,4519,3,6.091175044893989,7.2757480669617705,-0.017962092785074768,6.072205875943813
4,ridge,4519,3,5.187121312920219,6.217656095041839,0.25658778123743053,5.171778385429082
4,random_forest,4519,3,4.5101532234392145,5.814416306393872,0.34988745297024737,4.490746007468082
5,train_mean,4300,3,4.23543725785656,5.429273185319603,-0.038990168610542275,4.235454526549348
5,ridge,4300,3,3.748481845026915,4.696114405076712,0.22267007741182765,3.783922853304022
5,random_forest,4300,3,2.839962030680388,3.854910562013638,0.476210652678022,2.8720843465329486
