experiment,split,seed,n,vehicles,mae_ah,rmse_ah,r2,vehicle_macro_mae_ah
train_mean,validation,42,2864,2,4.127128026179134,5.284862313362307,-4.160904925054609e-05,4.151823284150781
train_mean,test,42,5982,4,5.138063672001076,6.434652880042389,-0.02849179991749673,5.124903431103961
ridge,validation,42,2864,2,3.332590753097003,4.302853800117778,0.33707576481952795,3.343395316675088
ridge,test,42,5982,4,4.444871966257659,5.709695593609979,0.19020238024002645,4.436301772486729
random_forest,validation,42,2864,2,2.4790096766139627,3.3971696087871575,0.5867763434198126,2.49452305141513
random_forest,test,42,5982,4,3.579580625772527,4.848949514363771,0.4159555370986827,3.563614230531943
rf_seed,validation,17,2864,2,2.4760340400313696,3.3985736387218983,0.5864347070916096,2.490577837464093
rf_seed,test,17,5982,4,3.5820863954095206,4.843654450051218,0.41723039650718496,3.5663171608532585
rf_seed,validation,2026,2864,2,2.4841259634698476,3.4033892356618742,0.5852618769925777,2.499429363760423
rf_seed,test,2026,5982,4,3.582320950358202,4.854382516248258,0.41464601951548263,3.5665599619157824
without_soc_current,validation,42,2864,2,2.9761676463641056,3.968235645144275,0.43617331850298025,3.006346347086287
without_soc_current,test,42,5982,4,4.207998144755984,5.468816772393998,0.25708807073646167,4.197618318492159
without_temperature,validation,42,2864,2,2.4892170419076396,3.381765252569216,0.5905153456973902,2.5037193367883566
without_temperature,test,42,5982,4,3.594218285369038,4.798575335126366,0.4280274050173871,3.576996663135896
without_cell_gap,validation,42,2864,2,2.536972563956298,3.5314391724394945,0.5534663663710523,2.5368627402272543
without_cell_gap,test,42,5982,4,3.4757556431122567,4.733593290298616,0.44341375745073097,3.4595426942113843
noise_1pct,validation,42,2864,2,2.540230771572427,3.4838074522148696,0.5654307388688493,2.5555730236618195
noise_1pct,test,42,5982,4,3.6156533958997534,4.893269732235423,0.40523021430409456,3.5999548516617796
noise_5pct,validation,42,2864,2,2.8973328453927847,3.907622711387478,0.45326614632590556,2.9069073013414375
noise_5pct,test,42,5982,4,3.8807084955287303,5.202154356692434,0.3277712930695035,3.8662471234441997
missing_10pct,validation,42,2864,2,2.8939360793981126,3.954056843538508,0.44019530968547627,2.9077357169591616
missing_10pct,test,42,5982,4,3.9006591930282233,5.188603184754696,0.33126892941173736,3.886739618382118
