experiment,seed,split,vehicle,mae_ah,sessions
missing_10pct,42,test,17,3.3360668640502156,1392
missing_10pct,42,test,18,4.153233779381529,1559
missing_10pct,42,test,19,3.5050697193995486,1512
missing_10pct,42,test,20,4.552588110697178,1519
missing_10pct,42,validation,15,3.028969342648866,1269
missing_10pct,42,validation,16,2.786502091269457,1595
noise_1pct,42,test,17,2.9952276361777668,1392
noise_1pct,42,test,18,3.961104648147324,1559
noise_1pct,42,test,19,3.21962007942292,1512
noise_1pct,42,test,20,4.223867042899106,1519
noise_1pct,42,validation,15,2.6903589438582034,1269
noise_1pct,42,validation,16,2.420787103465436,1595
noise_5pct,42,test,17,3.3131496399380422,1392
noise_5pct,42,test,18,4.200523094844142,1559
noise_5pct,42,test,19,3.4528887593892925,1512
noise_5pct,42,test,20,4.498426999605323,1519
noise_5pct,42,validation,15,2.9910215401050597,1269
noise_5pct,42,validation,16,2.822793062577815,1595
random_forest,42,test,17,2.950243460081283,1392
random_forest,42,test,18,3.9334086951110665,1559
random_forest,42,test,19,3.16059853070791,1512
random_forest,42,test,20,4.210206236227514,1519
random_forest,42,validation,15,2.6308123318769225,1269
random_forest,42,validation,16,2.358233770953338,1595
rf_seed,17,test,17,2.963300701551392,1392
rf_seed,17,test,18,3.938182663951775,1559
rf_seed,17,test,19,3.155767066527211,1512
rf_seed,17,test,20,4.208018211382657,1519
rf_seed,17,validation,15,2.618349113069365,1269
rf_seed,17,validation,16,2.3628065618588208,1595
rf_seed,2026,test,17,2.964472136135214,1392
rf_seed,2026,test,18,3.9402093146758084,1559
rf_seed,2026,test,19,3.1564021221982896,1512
rf_seed,2026,test,20,4.205156274653817,1519
rf_seed,2026,validation,15,2.633873960178234,1269
rf_seed,2026,validation,16,2.3649847673426114,1595
ridge,42,test,17,4.051842741559158,1392
ridge,42,test,18,4.451042329844381,1559
ridge,42,test,19,4.171876070259015,1512
ridge,42,test,20,5.0704459482843625,1519
ridge,42,validation,15,3.438316390563544,1269
ridge,42,validation,16,3.2484742427866324,1595
train_mean,42,test,17,4.549323089114337,1392
train_mean,42,test,18,5.224926586775843,1559
train_mean,42,test,19,4.892770375820854,1512
train_mean,42,test,20,5.832593672704812,1519
train_mean,42,validation,15,4.36877794314096,1269
train_mean,42,validation,16,3.9348686251606035,1595
without_cell_gap,42,test,17,2.8241736402141315,1392
without_cell_gap,42,test,18,3.8151520477192085,1559
without_cell_gap,42,test,19,3.16388321891873,1512
without_cell_gap,42,test,20,4.03496186999347,1519
without_cell_gap,42,validation,15,2.5358979084481734,1269
without_cell_gap,42,validation,16,2.5378275720063352,1595
without_soc_current,42,test,17,3.819454709802305,1392
without_soc_current,42,test,18,4.483083982191813,1559
without_soc_current,42,test,19,3.8195160529775225,1512
without_soc_current,42,test,20,4.668418528996997,1519
without_soc_current,42,validation,15,3.271474564473799,1269
without_soc_current,42,validation,16,2.7412181296987757,1595
without_temperature,42,test,17,2.920849055119996,1392
without_temperature,42,test,18,3.999828565724538,1559
without_temperature,42,test,19,3.1804649664079707,1512
without_temperature,42,test,20,4.206844065291077,1519
without_temperature,42,validation,15,2.631126001016492,1269
without_temperature,42,validation,16,2.3763126725602204,1595
